statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
13311;Regional employment accounts;JAHR;Year;2020;DLAND;Länder;01;Schleswig-Holstein;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-B-E;Industry, except construction;185.8;1000;ERW061;Employees (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;01;Schleswig-Holstein;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-E;Water supply,sewerage,waste management,remediation;10.7;1000;ERW063;Persons in employment (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;01;Schleswig-Holstein;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-E;Water supply,sewerage,waste management,remediation;0.4;1000;ERW062;Self-employed persons a. family workers (domestic);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;01;Schleswig-Holstein;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-E;Water supply,sewerage,waste management,remediation;10.4;1000;ERW061;Employees (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2023;DLAND;Länder;01;Schleswig-Holstein;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-C;Manufacturing;173.6;1000;ERW063;Persons in employment (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2023;DLAND;Länder;01;Schleswig-Holstein;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-C;Manufacturing;6.6;1000;ERW062;Self-employed persons a. family workers (domestic);p
13311;Regional employment accounts;JAHR;Year;2023;DLAND;Länder;01;Schleswig-Holstein;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-C;Manufacturing;166.9;1000;ERW061;Employees (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2020;DLAND;Länder;12;Brandenburg;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-A;Agriculture, forestry and fishing;27.4;1000;ERW063;Persons in employment (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2020;DLAND;Länder;12;Brandenburg;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-A;Agriculture, forestry and fishing;4.7;1000;ERW062;Self-employed persons a. family workers (domestic);p
13311;Regional employment accounts;JAHR;Year;2020;DLAND;Länder;12;Brandenburg;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-A;Agriculture, forestry and fishing;22.7;1000;ERW061;Employees (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;11;Berlin;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;;Total;2158.2;1000;ERW063;Persons in employment (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;11;Berlin;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;;Total;228.0;1000;ERW062;Self-employed persons a. family workers (domestic);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;11;Berlin;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;;Total;1930.2;1000;ERW061;Employees (domestic concept);p
